student_id,offered,participated,baseline_score,final_score
7001,1,0,79,81
7002,1,0,78,80
7003,0,0,77,80
7004,0,0,86,86
7005,0,0,81,85
7006,0,0,67,65
7007,1,1,57,66
7008,1,0,87,88
7009,1,1,64,74
7010,0,0,69,70
7011,0,0,50,46
7012,1,0,65,69
7013,1,1,68,72
7014,0,0,75,80
7015,1,1,61,70
7016,1,0,85,87
7017,0,0,73,73
7018,0,0,58,62
7019,0,0,71,74
7020,0,0,76,79
7021,1,1,66,76
7022,0,0,45,45
7023,1,0,90,92
7024,1,0,73,77
7025,0,0,78,84
7026,1,0,78,80
7027,1,1,76,84
7028,0,0,80,82
7029,0,0,84,88
7030,1,1,68,78
7031,1,0,74,78
7032,1,0,87,91
7033,0,0,63,63
7034,1,0,71,72
7035,0,0,70,71
7036,1,1,67,77
7037,1,0,84,89
7038,0,0,80,82
7039,1,1,56,62
7040,0,0,70,71
7041,0,0,71,75
7042,1,1,75,85
7043,0,0,74,75
7044,1,1,70,80
7045,0,0,65,69
7046,1,1,68,78
7047,1,1,71,84
7048,1,0,82,84
7049,0,0,68,67
7050,0,0,52,58
7051,1,0,81,85
7052,0,0,76,82
7053,1,1,72,78
7054,0,0,95,95
7055,1,1,64,75
7056,0,0,72,75
7057,1,1,62,70
7058,0,0,63,65
7059,1,1,71,80
7060,1,0,83,86
7061,1,1,77,84
7062,1,0,85,89
7063,1,0,83,85
7064,0,0,67,72
7065,1,1,73,79
7066,0,0,85,88
7067,1,1,65,77
7068,1,0,73,77
7069,1,0,73,80
7070,0,0,85,89
7071,0,0,86,90
7072,0,0,71,73
7073,1,0,86,95
7074,1,0,75,78
7075,0,0,83,83
7076,0,0,81,86
7077,0,0,68,76
7078,0,0,82,82
7079,0,0,79,82
7080,1,0,85,87
7081,1,0,81,84
7082,0,0,67,66
7083,1,1,86,93
7084,1,0,79,80
7085,0,0,95,95
7086,1,0,74,74
7087,0,0,79,81
7088,1,0,79,83
7089,1,1,74,81
7090,0,0,63,65
7091,0,0,70,73
7092,1,0,83,87
7093,1,0,68,69
7094,1,1,69,82
7095,0,0,68,73
7096,0,0,76,80
7097,0,0,49,52
7098,1,0,83,91
7099,1,0,77,80
7100,0,0,74,73
7101,1,1,71,80
7102,0,0,81,78
7103,0,0,76,81
7104,1,0,68,70
7105,1,1,61,71
7106,0,0,77,77
7107,0,0,80,82
7108,0,0,86,88
7109,0,0,59,59
7110,0,0,68,70
7111,0,0,70,77
7112,1,1,79,88
7113,1,0,69,73
7114,0,0,73,80
7115,0,0,65,66
7116,0,0,69,71
7117,0,0,89,90
7118,0,0,56,58
7119,1,1,69,77
7120,1,1,56,62
